A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price,Material
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 2 Overage,ae57f7ee-fcf6-43d3-8f21-3372ecb30dd3,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,BBB-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 2 Overage for Faculty,3d27f8e0-e8e7-4db4-ac2d-972d44a07154,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BIY-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 2 Overage for Students,0b0e1691-cfdd-4c83-bfd1-0c994b221519,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BIY-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 3,619c2bbc-630c-4775-8afc-df992773131b,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,10150,14500,B1Z-00004
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 3 for Faculty,e4a71a3f-b3b3-43ff-a47e-6dd954d5b104,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,5582.5,7975,BER-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 3 for Students,1e3399fe-e147-49c0-b4e5-17025bff95e2,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,4060,5800,BER-00004
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 3 Overage,ebb480a5-89bd-4041-b4e1-31d3e79bc9a2,Corporate,1 Month(s),ADDON,CLOUD RESELLER CORPORATE,350,500,BBD-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 3 Overage for Faculty,1c0bf11c-a09e-4af6-97bd-1073ec50e48e,Academic,1 Month(s),ADDON,CLOUD RESELLER FACULTY,192.5,275,BJI-00002
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 3 Overage for Students,433f52e5-7d38-42bc-82c8-0a3543786b42,Academic,1 Month(s),ADDON,CLOUD RESELLER STUDENT,140,200,BJI-00003
UNC,20210501,99991231,Dynamics 365 e-Commerce Tier 2 Band 4,a3c63f91-5e6d-428d-ad5a-3c26dd864879,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,10150,14500,B2X-00004
